mouse_ens_id	mouse_gene_symbol	human_ens_id	human_gene_symbol	human_chromosome	human_gene_start_bp
ENSMUSG00000032590	Apeh	ENSG00000164062	APEH	3	49674014
ENSMUSG00000046731	Kctd11	ENSG00000213859	KCTD11	17	7351889
ENSMUSG00000062115	Rai1	ENSG00000108557	RAI1	17	17681458
ENSMUSG00000005357	Slc1a6	ENSG00000105143	SLC1A6	19	14950034
ENSMUSG00000007837	Prrg2	ENSG00000126460	PRRG2	19	49580646
ENSMUSG00000006800	Sulf2	ENSG00000196562	SULF2	20	47656348
ENSMUSG00000047986	Palm3	ENSG00000187867	PALM3	19	14053363
ENSMUSG00000037235	Mxd4	ENSG00000123933	MXD4	4	2247432
ENSMUSG00000043485	Krt34	ENSG00000131737	KRT34	17	41377650
ENSMUSG00000057092	Fxyd3	ENSG00000285526		19	35106510
ENSMUSG00000057092	Fxyd3	ENSG00000089356	FXYD3	19	35115879
ENSMUSG00000069132	Nxph2	ENSG00000144227	NXPH2	2	138669157
ENSMUSG00000034780	B3galt1	ENSG00000172318	B3GALT1	2	167868948
ENSMUSG00000025759	Mfsd8	ENSG00000164073	MFSD8	4	127917799
ENSMUSG00000021573	Tppp	ENSG00000171368	TPPP	5	659862
ENSMUSG00000035575	Utp6	ENSG00000108651	UTP6	17	31860904
ENSMUSG00000050919	Zfp366	ENSG00000178175	ZNF366	5	72439903
ENSMUSG00000094144	Gm21312	ENSG00000183684	ALYREF	17	81887835
ENSMUSG00000025982	Sf3b1	ENSG00000115524	SF3B1	2	197388515
ENSMUSG00000030298	Sec13	ENSG00000157020	SEC13	3	10293131
ENSMUSG00000074472	Zfp872	ENSG00000198551	ZNF627	19	11559374
ENSMUSG00000079555	Haus3	ENSG00000214367	HAUS3	4	2078998
ENSMUSG00000023723	Mrps23	ENSG00000181610	MRPS23	17	57834781
ENSMUSG00000021624	Cd180	ENSG00000134061	CD180	5	67179613
ENSMUSG00000075702	Selm	ENSG00000198832	SELENOM	22	31104772
ENSMUSG00000036561	Ppp6r2	ENSG00000100239	PPP6R2	22	50343304
ENSMUSG00000033545	Znrf1	ENSG00000186187	ZNRF1	16	74999024
ENSMUSG00000095432	Zfp748	ENSG00000213799	ZNF845	19	53333749
ENSMUSG00000070380	Olfr401	ENSG00000180090	OR3A1	17	3291017
ENSMUSG00000033910	Gucy1a3	ENSG00000164116	GUCY1A1	4	155666726
ENSMUSG00000030373	Psg28	ENSG00000105352	CEACAM4	19	41618971
ENSMUSG00000030373	Psg28	ENSG00000267881		19	41708657
ENSMUSG00000031831	Dnaaf1	ENSG00000154099	DNAAF1	16	84145287
ENSMUSG00000022914	Brwd1	ENSG00000185658	BRWD1	21	39184176
ENSMUSG00000065840	Gm25187	ENSG00000274309	SNORA71E	20	38448084
ENSMUSG00000036136	Fam110c	ENSG00000184731	FAM110C	2	38814
ENSMUSG00000041607	Mbp	ENSG00000197971	MBP	18	76978827
ENSMUSG00000048101	Olfr19	ENSG00000188269	OR7A5	19	14824251
ENSMUSG00000048101	Olfr19	ENSG00000127515	OR7A10	19	14840466
ENSMUSG00000048101	Olfr19	ENSG00000185385	OR7A17	19	14878203
ENSMUSG00000032567	Aste1	ENSG00000034533	ASTE1	3	131013875
ENSMUSG00000051590	Map3k19	ENSG00000176601	MAP3K19	2	134964485
ENSMUSG00000020607	Fam84a	ENSG00000162981	LRATD1	2	14632700
ENSMUSG00000051355	Commd1	ENSG00000173163	COMMD1	2	61888724
ENSMUSG00000027474	Ccm2l	ENSG00000101331	CCM2L	20	32010438
ENSMUSG00000049103	Ccr2	ENSG00000121807	CCR2	3	46353744
ENSMUSG00000068008	Bpifb3	ENSG00000186190	BPIFB3	20	33055424
ENSMUSG00000084454	Gm24592	ENSG00000252386	RNU6-1018P	20	41684986
ENSMUSG00000032527	Pccb	ENSG00000114054	PCCB	3	136250340
ENSMUSG00000020646	Mboat2	ENSG00000143797	MBOAT2	2	8852690
ENSMUSG00000024378	Stard4	ENSG00000164211	STARD4	5	111496033
ENSMUSG00000064765	Gm26456	ENSG00000199546		3	49270132
ENSMUSG00000031520	Vegfc	ENSG00000150630	VEGFC	4	176683538
ENSMUSG00000095788	Sirpb1a	ENSG00000260861		20	1540144
ENSMUSG00000095788	Sirpb1a	ENSG00000101307	SIRPB1	20	1561385
ENSMUSG00000095788	Sirpb1a	ENSG00000089012	SIRPG	20	1629152
ENSMUSG00000095788	Sirpb1a	ENSG00000198053	SIRPA	20	1894167
ENSMUSG00000030402	Ppm1n	ENSG00000213889	PPM1N	19	45488777
ENSMUSG00000027829	Ccnl1	ENSG00000163660	CCNL1	3	157146508
ENSMUSG00000033287	Kctd17	ENSG00000100379	KCTD17	22	37051736
ENSMUSG00000022774	Ncbp2	ENSG00000114503	NCBP2	3	196935402
ENSMUSG00000078632	Lrrc37a	ENSG00000185158	LRRC37B	17	32007872
ENSMUSG00000078632	Lrrc37a	ENSG00000176681	LRRC37A	17	46292733
ENSMUSG00000078632	Lrrc37a	ENSG00000238083	LRRC37A2	17	46511511
ENSMUSG00000078632	Lrrc37a	ENSG00000176809	LRRC37A3	17	64854312
ENSMUSG00000047417	Rexo1	ENSG00000079313	REXO1	19	1815248
ENSMUSG00000065513	Mir26a-1	ENSG00000199075	MIR26A1	3	37969404
ENSMUSG00000022197	Pdzd2	ENSG00000133401	PDZD2	5	31639131
ENSMUSG00000052214	Opa3	ENSG00000125741	OPA3	19	45527427
ENSMUSG00000024646	Cyb5a	ENSG00000166347	CYB5A	18	74250846
ENSMUSG00000056162	Cndp1	ENSG00000150656	CNDP1	18	74534500
ENSMUSG00000003308	Keap1	ENSG00000079999	KEAP1	19	10486125
ENSMUSG00000052234	Epx	ENSG00000121053	EPX	17	58192726
ENSMUSG00000074207	Adh1	ENSG00000187758	ADH1A	4	99276369
ENSMUSG00000074207	Adh1	ENSG00000196616	ADH1B	4	99304971
ENSMUSG00000074207	Adh1	ENSG00000248144	ADH1C	4	99336497
ENSMUSG00000001119	Col6a1	ENSG00000142156	COL6A1	21	45981769
ENSMUSG00000077685	Gm22498	ENSG00000212498	SNORD86	20	2656097
ENSMUSG00000035473	Galm	ENSG00000143891	GALM	2	38666081
ENSMUSG00000039337	Tex19.2	ENSG00000182459	TEX19	17	82359247
ENSMUSG00000039670	Oxld1	ENSG00000204237	OXLD1	17	81665036
ENSMUSG00000030825	Hsd17b14	ENSG00000087076	HSD17B14	19	48813018
ENSMUSG00000041708	Mpped1	ENSG00000186732	MPPED1	22	43411196
ENSMUSG00000024034	Tmprss3	ENSG00000160183	TMPRSS3	21	42371887
ENSMUSG00000033318	Gstt2	ENSG00000133433	GSTT2B	22	23957414
ENSMUSG00000033318	Gstt2	ENSG00000099984	GSTT2	22	23980058
ENSMUSG00000020708	Psmc5	ENSG00000087191	PSMC5	17	63827152
ENSMUSG00000040857	Erf	ENSG00000105722	ERF	19	42247569
ENSMUSG00000058692	Olfr846	ENSG00000170923	OR7G2	19	9100407
ENSMUSG00000015880	Ncapg	ENSG00000109805	NCAPG	4	17810979
ENSMUSG00000049013	Prss48	ENSG00000189099	PRSS48	4	151277171
ENSMUSG00000093701	Gm21970	ENSG00000243646	IL10RB	21	33266367
ENSMUSG00000003778	Brd8	ENSG00000112983	BRD8	5	138139770
ENSMUSG00000028427	Aqp7	ENSG00000259916		2	94588522
ENSMUSG00000012777	Acpt	ENSG00000142513	ACP4	19	50790415
ENSMUSG00000026335	Pam	ENSG00000145730	PAM	5	102753981
ENSMUSG00000003269	Cyth2	ENSG00000105443	CYTH2	19	48469208
ENSMUSG00000041378	Cldn5	ENSG00000184113	CLDN5	22	19523024
ENSMUSG00000026315	Serpinb8	ENSG00000166401	SERPINB8	18	63970029
ENSMUSG00000071510	Olfr172	ENSG00000232382	OR5K1	3	98463201
ENSMUSG00000071510	Olfr172	ENSG00000231861	OR5K2	3	98497604
ENSMUSG00000050270	Tmem220	ENSG00000187824	TMEM220	17	10699015
ENSMUSG00000088022	Gm22146	ENSG00000251982	RN7SKP43	2	217251556
ENSMUSG00000025420	Katnal2	ENSG00000167216	KATNAL2	18	46917492
ENSMUSG00000046959	Slc26a1	ENSG00000145217	SLC26A1	4	979073
ENSMUSG00000049537	Tecrl	ENSG00000205678	TECRL	4	64275257
ENSMUSG00000089774	Slc5a3	ENSG00000198743	SLC5A3	21	34073578
ENSMUSG00000027547	Sall4	ENSG00000101115	SALL4	20	51782331
ENSMUSG00000026765	Lypd6b	ENSG00000150556	LYPD6B	2	149038107
ENSMUSG00000078261	Gm11596	ENSG00000196156	KRTAP4-3	17	41167231
ENSMUSG00000001542	Ell2	ENSG00000118985	ELL2	5	95885098
ENSMUSG00000029238	Clock	ENSG00000134852	CLOCK	4	55427903
ENSMUSG00000114378	NA	ENSG00000114405	C3orf14	3	62319015
ENSMUSG00000069867	Pabpn1l	ENSG00000205022	PABPN1L	16	88863333
ENSMUSG00000024360	Etf1	ENSG00000120705	ETF1	5	138506095
ENSMUSG00000054309	Cpsf3	ENSG00000119203	CPSF3	2	9423651
ENSMUSG00000077265	Gm24430	ENSG00000252908	RNU6-1003P	5	17240611
ENSMUSG00000059900	Tmem40	ENSG00000088726	TMEM40	3	12733528
ENSMUSG00000053194	Cib4	ENSG00000157884	CIB4	2	26581205
ENSMUSG00000087376	Gm15517	ENSG00000261341		19	50776141
ENSMUSG00000065037	Rn7sk	ENSG00000201201	RN7SKP118	16	67321658
ENSMUSG00000103255	PCDHA9	ENSG00000248383	PCDHAC1	5	140926299
ENSMUSG00000064522	Gm26442	ENSG00000206629	RNU1-63P	4	67429591
ENSMUSG00000017165	Gast	ENSG00000184502	GAST	17	41712331
ENSMUSG00000020928	Higd1b	ENSG00000131097	HIGD1B	17	44846353
ENSMUSG00000020219	Timm13	ENSG00000099800	TIMM13	19	2425625
ENSMUSG00000030084	Plxna1	ENSG00000114554	PLXNA1	3	126988594
ENSMUSG00000093921	Gm23864	ENSG00000199697	RNU6-446P	17	62683905
ENSMUSG00000000290	Itgb2	ENSG00000160255	ITGB2	21	44885953
ENSMUSG00000027665	Pik3ca	ENSG00000121879	PIK3CA	3	179148114
ENSMUSG00000033124	Atg9a	ENSG00000284820		2	219209772
ENSMUSG00000033124	Atg9a	ENSG00000198925	ATG9A	2	219219380
ENSMUSG00000033383	Rtp1	ENSG00000175077	RTP1	3	187197486
ENSMUSG00000089694	Gm4477	ENSG00000144035	NAT8	2	73640723
ENSMUSG00000089694	Gm4477	ENSG00000204872	NAT8B	2	73700576
ENSMUSG00000017204	Gsdma	ENSG00000167914	GSDMA	17	39953263
ENSMUSG00000003235	Eif2b5	ENSG00000145191	EIF2B5	3	184135038
ENSMUSG00000039354	Smarcal1	ENSG00000138375	SMARCAL1	2	216412414
ENSMUSG00000041685	Fcho2	ENSG00000157107	FCHO2	5	72956041
ENSMUSG00000021662	Arhgef28	ENSG00000214944	ARHGEF28	5	73626158
ENSMUSG00000043391	2510009E07Rik	ENSG00000187068	C3orf70	3	185076838
ENSMUSG00000042870	Tom1	ENSG00000100284	TOM1	22	35299275
ENSMUSG00000094314	Gm4301	ENSG00000183684	ALYREF	17	81887835
ENSMUSG00000047821	Trim16	ENSG00000221926	TRIM16	17	15627960
ENSMUSG00000047821	Trim16	ENSG00000108448	TRIM16L	17	18697998
ENSMUSG00000071262	Zfp957	ENSG00000100207	TCF20	22	42160013
ENSMUSG00000064145	Arih2	ENSG00000177479	ARIH2	3	48918821
ENSMUSG00000044966	Fbxo48	ENSG00000204923	FBXO48	2	68459422
ENSMUSG00000074061	Fbxw19	ENSG00000164049	FBXW12	3	48372219
ENSMUSG00000030031	Kbtbd8	ENSG00000163376	KBTBD8	3	66998307
ENSMUSG00000037720	Tmem33	ENSG00000109133	TMEM33	4	41935129
ENSMUSG00000020877	Scrn2	ENSG00000141295	SCRN2	17	47837692
ENSMUSG00000010054	Tusc2	ENSG00000114383	TUSC2	3	50320027
ENSMUSG00000062345	Serpinb2	ENSG00000197632	SERPINB2	18	63871692
ENSMUSG00000105288	NA	ENSG00000281159		2	130929762
ENSMUSG00000051497	Kcnj16	ENSG00000153822	KCNJ16	17	70053429
ENSMUSG00000001786	Fbxo7	ENSG00000100225	FBXO7	22	32474676
ENSMUSG00000032456	Nmnat3	ENSG00000163864	NMNAT3	3	139560180
ENSMUSG00000046546	Fam43a	ENSG00000185112	FAM43A	3	194685883
ENSMUSG00000075704	Txnrd2	ENSG00000184470	TXNRD2	22	19875517
ENSMUSG00000021622	Ckmt2	ENSG00000131730	CKMT2	5	81233320
ENSMUSG00000022249	Ttc23l	ENSG00000205838	TTC23L	5	34838833
ENSMUSG00000016984	Etaa1	ENSG00000143971	ETAA1	2	67397322
ENSMUSG00000026208	Des	ENSG00000175084	DES	2	219418377
ENSMUSG00000026979	Psd4	ENSG00000125637	PSD4	2	113157325
ENSMUSG00000087812	Gm25115	ENSG00000199497	RNU1-94P	20	31901254
ENSMUSG00000037797	Adh4	ENSG00000198099	ADH4	4	99123657
ENSMUSG00000025173	Wdr45b	ENSG00000141580	WDR45B	17	82614562
ENSMUSG00000020265	Sumo3	ENSG00000184900	SUMO3	21	44805617
ENSMUSG00000014602	Kif1a	ENSG00000130294	KIF1A	2	240713761
ENSMUSG00000024081	Cebpz	ENSG00000115816	CEBPZ	2	37201612
ENSMUSG00000027639	Samhd1	ENSG00000101347	SAMHD1	20	36890229
ENSMUSG00000019470	Xab2	ENSG00000076924	XAB2	19	7619525
ENSMUSG00000088308	Gm24507	ENSG00000238835	SCARNA18	5	83064204
ENSMUSG00000041012	Cmtm8	ENSG00000170293	CMTM8	3	32238679
ENSMUSG00000027999	Pla2g12a	ENSG00000123739	PLA2G12A	4	109709989
ENSMUSG00000017119	Nbr1	ENSG00000188554	NBR1	17	43170481
ENSMUSG00000035042	Ccl5	ENSG00000271503	CCL5	17	35871491
ENSMUSG00000077239	Snord66	ENSG00000212158	SNORD66	3	184325696
ENSMUSG00000027303	Ptpra	ENSG00000132670	PTPRA	20	2864184
ENSMUSG00000022912	Pros1	ENSG00000184500	PROS1	3	93873051
ENSMUSG00000051456	Hspb3	ENSG00000169271	HSPB3	5	54455699
ENSMUSG00000032497	Lrrfip2	ENSG00000093167	LRRFIP2	3	37052626
ENSMUSG00000024096	Ralbp1	ENSG00000017797	RALBP1	18	9475009
ENSMUSG00000040648	Ppip5k2	ENSG00000145725	PPIP5K2	5	103120149
ENSMUSG00000118560	NA	ENSG00000105370	LIM2	19	51379909
ENSMUSG00000094539	Olfr191	ENSG00000231192	OR5H1	3	98130721
ENSMUSG00000094539	Olfr191	ENSG00000236032	OR5H14	3	98147479
ENSMUSG00000094539	Olfr191	ENSG00000233412	OR5H15	3	98166696
ENSMUSG00000094539	Olfr191	ENSG00000230301	OR5H6	3	98263252
ENSMUSG00000094539	Olfr191	ENSG00000197938	OR5H2	3	98282888
ENSMUSG00000094539	Olfr191	ENSG00000232535	OR5H8	3	98306752
ENSMUSG00000037885	Stk35	ENSG00000125834	STK35	20	2101827
ENSMUSG00000019761	Krt10	ENSG00000186395	KRT10	17	40818117
ENSMUSG00000027472	Pdrg1	ENSG00000088356	PDRG1	20	31944337
ENSMUSG00000094020	Gm23003	ENSG00000207060	RNU6-480P	5	51055353
ENSMUSG00000078994	Zfp429	ENSG00000197013	ZNF429	19	21496682
ENSMUSG00000024553	Galr1	ENSG00000166573	GALR1	18	77249848
ENSMUSG00000022772	Senp5	ENSG00000119231	SENP5	3	196867856
ENSMUSG00000084682	Gm22024	ENSG00000222524	RN7SKP109	19	55737285
ENSMUSG00000038127	Ccdc50	ENSG00000152492	CCDC50	3	191329085
ENSMUSG00000031621	Isx	ENSG00000175329	ISX	22	35066136
ENSMUSG00000052296	Ppp6r1	ENSG00000105063	PPP6R1	19	55229779
ENSMUSG00000048277	Syngr2	ENSG00000108639	SYNGR2	17	78168558
ENSMUSG00000066877	Nck2	ENSG00000071051	NCK2	2	105744912
ENSMUSG00000084753	Gm22452	ENSG00000252962	RNU6-993P	19	2503047
ENSMUSG00000074764	Sel1l2	ENSG00000101251	SEL1L2	20	13849247
ENSMUSG00000031917	Nip7	ENSG00000132603	NIP7	16	69337996
ENSMUSG00000089217	Gm23385	ENSG00000201967	RN7SKP22	19	32862800
ENSMUSG00000000374	Trappc10	ENSG00000160218	TRAPPC10	21	44012309
ENSMUSG00000055725	Paqr3	ENSG00000163291	PAQR3	4	78887127
ENSMUSG00000004018	Fancl	ENSG00000115392	FANCL	2	58159243
ENSMUSG00000037761	Actr5	ENSG00000101442	ACTR5	20	38748460
ENSMUSG00000029177	Cenpa	ENSG00000115163	CENPA	2	26764289
ENSMUSG00000088442	Gm23553	ENSG00000253001	RN7SKP105	4	163828800
ENSMUSG00000021719	Rgs7bp	ENSG00000186479	RGS7BP	5	64506015
ENSMUSG00000005043	Sgsh	ENSG00000181523	SGSH	17	80206716
ENSMUSG00000052656	Rnf103	ENSG00000239305	RNF103	2	86603398
ENSMUSG00000065787	Gm22681	ENSG00000252897	RNU6-685P	2	82268612
ENSMUSG00000047531	Rtp2	ENSG00000198471	RTP2	3	187698259
ENSMUSG00000090171	Ugt1a2	ENSG00000240224	UGT1A5	2	233712992
ENSMUSG00000090171	Ugt1a2	ENSG00000244474	UGT1A4	2	233718736
ENSMUSG00000090171	Ugt1a2	ENSG00000243135	UGT1A3	2	233729108
ENSMUSG00000030030	1700003E16Rik	ENSG00000159239		2	74393836
ENSMUSG00000030030	1700003E16Rik	ENSG00000284308	C2orf81	2	74414176
ENSMUSG00000001670	Tat	ENSG00000198650	TAT	16	71565660
ENSMUSG00000077483	Gm25273	ENSG00000200792	SNORA80A	21	32377187
ENSMUSG00000039193	Nlrc4	ENSG00000091106	NLRC4	2	32224453
ENSMUSG00000074060	Fbxw15	ENSG00000164049	FBXW12	3	48372219
ENSMUSG00000014633	Cmc2	ENSG00000103121	CMC2	16	80966448
ENSMUSG00000002885	Cd97	ENSG00000123146	ADGRE5	19	14380501
ENSMUSG00000037470	Uggt1	ENSG00000136731	UGGT1	2	128091200
ENSMUSG00000029255	Gnrhr	ENSG00000109163	GNRHR	4	67737118
ENSMUSG00000097239	Gm27029	ENSG00000266967	AARSD1	17	42950526
ENSMUSG00000097239	Gm27029	ENSG00000108825	PTGES3L-AARSD1	17	42950526
ENSMUSG00000040564	Apoc1	ENSG00000130208	APOC1	19	44914247
ENSMUSG00000027312	Atrn	ENSG00000088812	ATRN	20	3471018
ENSMUSG00000042345	Ubash3a	ENSG00000160185	UBASH3A	21	42403447
ENSMUSG00000038335	Tsr1	ENSG00000167721	TSR1	17	2322396
ENSMUSG00000014504	Srp19	ENSG00000153037	SRP19	5	112861188
ENSMUSG00000049482	Ctu2	ENSG00000174177	CTU2	16	88706483
ENSMUSG00000061032	Rrp1	ENSG00000160214	RRP1	21	43789513
ENSMUSG00000001767	Crnkl1	ENSG00000101343	CRNKL1	20	20034368
ENSMUSG00000027463	Slc52a3	ENSG00000101276	SLC52A3	20	760080
ENSMUSG00000042485	Mustn1	ENSG00000243696		3	52813282
ENSMUSG00000042485	Mustn1	ENSG00000272573	MUSTN1	3	52833114
ENSMUSG00000115072	NA	ENSG00000178201	VN1R1	19	57454790
ENSMUSG00000030324	Rho	ENSG00000163914	RHO	3	129528639
ENSMUSG00000080610	Snord110	ENSG00000221116	SNORD110	20	2654212
ENSMUSG00000019471	Cdc37	ENSG00000105401	CDC37	19	10391133
ENSMUSG00000064706	Gm22508	ENSG00000199546		3	49270132
ENSMUSG00000070495	Ctcfl	ENSG00000124092	CTCFL	20	57495966
ENSMUSG00000027762	Sucnr1	ENSG00000198829	SUCNR1	3	151873643
ENSMUSG00000022763	Aifm3	ENSG00000183773	AIFM3	22	20965108
ENSMUSG00000036427	Gpi1	ENSG00000105220	GPI	19	34359480
ENSMUSG00000033355	Rtp4	ENSG00000136514	RTP4	3	187368385
ENSMUSG00000018932	Map2k3	ENSG00000034152	MAP2K3	17	21284672
ENSMUSG00000050017	Pitpnb	ENSG00000180957	PITPNB	22	27851669
ENSMUSG00000042655	Fam159b	ENSG00000145642	SHISAL2B	5	64690442
ENSMUSG00000022388	Ttll8	ENSG00000138892	TTLL8	22	50015123
ENSMUSG00000022723	Crybg3	ENSG00000080200	CRYBG3	3	97822011
ENSMUSG00000098503	Gm27937	ENSG00000276057		22	30971296
ENSMUSG00000027722	Spata5	ENSG00000145375	SPATA5	4	122923070
ENSMUSG00000052917	Senp7	ENSG00000138468	SENP7	3	101324205
ENSMUSG00000025162	Csnk1d	ENSG00000141551	CSNK1D	17	82239023
ENSMUSG00000002064	Sdf2	ENSG00000132581	SDF2	17	28648346
ENSMUSG00000020546	Stxbp4	ENSG00000166263	STXBP4	17	54968727
ENSMUSG00000031620	1700007B14Rik	ENSG00000234828	IQCM	4	149351903
ENSMUSG00000035851	Ythdc1	ENSG00000083896	YTHDC1	4	68310387
ENSMUSG00000053560	Ier2	ENSG00000160888	IER2	19	13150411
ENSMUSG00000054146	Krt15	ENSG00000171346	KRT15	17	41513745
ENSMUSG00000026834	Acvr1c	ENSG00000123612	ACVR1C	2	157526767
ENSMUSG00000047126	Cltc	ENSG00000141367	CLTC	17	59619689
ENSMUSG00000027423	Snx5	ENSG00000089006	SNX5	20	17941597
ENSMUSG00000003955	Fam162a	ENSG00000114023	FAM162A	3	122384176
ENSMUSG00000084449	Gm26257	ENSG00000212340	RNU6-739P	3	64511755
ENSMUSG00000038564	Ift172	ENSG00000138002	IFT172	2	27444377
ENSMUSG00000071856	Mcc	ENSG00000171444	MCC	5	113022099
ENSMUSG00000026127	Imp4	ENSG00000136718	IMP4	2	130342877
ENSMUSG00000026896	Ifih1	ENSG00000115267	IFIH1	2	162267074
ENSMUSG00000020483	Dynll2	ENSG00000264364	DYNLL2	17	58083419
ENSMUSG00000017767	Spata25	ENSG00000149634	SPATA25	20	45886489
ENSMUSG00000068011	Mkrn2os	ENSG00000225526	MKRN2OS	3	12514934
ENSMUSG00000024247	Pkdcc	ENSG00000162878	PKDCC	2	42048021
ENSMUSG00000020782	Llgl2	ENSG00000073350	LLGL2	17	75525080
ENSMUSG00000060098	Prmt7	ENSG00000132600	PRMT7	16	68310974
ENSMUSG00000036578	Fxyd7	ENSG00000221946	FXYD7	19	35143250
ENSMUSG00000074647	Fam83c	ENSG00000125998	FAM83C	20	35285731
ENSMUSG00000020653	Klf11	ENSG00000172059	KLF11	2	10042849
ENSMUSG00000021725	Parp8	ENSG00000151883	PARP8	5	50665899
ENSMUSG00000090693	Trim43a	ENSG00000144010	TRIM43B	2	95476967
ENSMUSG00000090693	Trim43a	ENSG00000144015	TRIM43	2	95592001
ENSMUSG00000031954	Cfdp1	ENSG00000153774	CFDP1	16	75293698
ENSMUSG00000034362	Csta1	ENSG00000121552	CSTA	3	122325248
ENSMUSG00000039671	Zmynd8	ENSG00000101040	ZMYND8	20	47209214
ENSMUSG00000029804	Herc3	ENSG00000287542		4	88523810
ENSMUSG00000029804	Herc3	ENSG00000138641	HERC3	4	88592434
ENSMUSG00000024206	Rfx2	ENSG00000087903	RFX2	19	5993164
ENSMUSG00000031808	Slc27a1	ENSG00000130304	SLC27A1	19	17468769
ENSMUSG00000041653	Pnpla3	ENSG00000100344	PNPLA3	22	43923792
ENSMUSG00000083695	Rnf138rt1	ENSG00000134758	RNF138	18	32091874
ENSMUSG00000070144	Mir1a-1	ENSG00000199017	MIR1-1	20	62554306
ENSMUSG00000040725	Hnrnpul1	ENSG00000105323	HNRNPUL1	19	41262496
ENSMUSG00000018042	Cyb5r3	ENSG00000100243	CYB5R3	22	42617840
ENSMUSG00000064284	Cdpf1	ENSG00000205643	CDPF1	22	46244011
ENSMUSG00000042272	Sestd1	ENSG00000187231	SESTD1	2	179101678
ENSMUSG00000021765	Fst	ENSG00000134363	FST	5	53480626
ENSMUSG00000006542	Prkag3	ENSG00000115592	PRKAG3	2	218822383
ENSMUSG00000057193	Slc44a2	ENSG00000129353	SLC44A2	19	10602457
ENSMUSG00000038524	Fchsd1	ENSG00000197948	FCHSD1	5	141639302
ENSMUSG00000034488	Edil3	ENSG00000164176	EDIL3	5	83940554
ENSMUSG00000088577	Gm25456	ENSG00000252199		21	9907916
ENSMUSG00000088577	Gm25456	ENSG00000252014		4	131768140
ENSMUSG00000104856	NA	ENSG00000221633		3	109018909
ENSMUSG00000026167	Wnt10a	ENSG00000135925	WNT10A	2	218880852
ENSMUSG00000075267	Dfnb59	ENSG00000204311	PJVK	2	178451346
ENSMUSG00000001036	Epn2	ENSG00000072134	EPN2	17	19215615
ENSMUSG00000026098	Pms1	ENSG00000064933	PMS1	2	189784085
ENSMUSG00000025421	Hdhd2	ENSG00000167220	HDHD2	18	47107408
ENSMUSG00000024400	Wdr33	ENSG00000136709	WDR33	2	127701027
ENSMUSG00000110206	NA	ENSG00000090554	FLT3LG	19	49474207
ENSMUSG00000054469	Lclat1	ENSG00000172954	LCLAT1	2	30447226
ENSMUSG00000035399	Oser1	ENSG00000132823	OSER1	20	44195939
ENSMUSG00000044562	Rasip1	ENSG00000105538	RASIP1	19	48720585
ENSMUSG00000038208	Pgap3	ENSG00000161395	PGAP3	17	39671122
ENSMUSG00000022887	Masp1	ENSG00000127241	MASP1	3	187217285
ENSMUSG00000115768	NA	ENSG00000263201	DPEP2NB	16	68013436
ENSMUSG00000021905	Dph3	ENSG00000154813	DPH3	3	16257061
ENSMUSG00000032852	Rspo4	ENSG00000101282	RSPO4	20	958452
ENSMUSG00000078260	Gm11569	ENSG00000196156	KRTAP4-3	17	41167231
ENSMUSG00000088073	Gm22817	ENSG00000252350	RPPH1-3P	4	156986372
ENSMUSG00000061928	Dsg1b	ENSG00000134760	DSG1	18	31318160
ENSMUSG00000094815	Gm22615	ENSG00000207503		21	41539206
ENSMUSG00000018160	Med1	ENSG00000125686	MED1	17	39404285
ENSMUSG00000041438	Cirh1a	ENSG00000141076	UTP4	16	69131291
ENSMUSG00000017670	Elmo2	ENSG00000062598	ELMO2	20	46366050
ENSMUSG00000089071	Gm24499	ENSG00000207160	RNU6-1289P	18	26366301
ENSMUSG00000089071	Gm24499	ENSG00000207385	RNU6-310P	4	53265461
ENSMUSG00000089071	Gm24499	ENSG00000199731	RNU6-1079P	5	32234766
ENSMUSG00000045394	Epcam	ENSG00000119888	EPCAM	2	47345158
ENSMUSG00000035448	Ccr3	ENSG00000183625	CCR3	3	46163604
ENSMUSG00000036882	Arhgap33	ENSG00000004777	ARHGAP33	19	35774532
ENSMUSG00000093956	Gm24497	ENSG00000222724	RNU2-63P	2	88016354
ENSMUSG00000093956	Gm24497	ENSG00000222627	RNU2-37P	3	128075073
ENSMUSG00000038369	Ncoa6	ENSG00000198646	NCOA6	20	34689097
ENSMUSG00000018068	Ints2	ENSG00000108506	INTS2	17	61865367
ENSMUSG00000030796	Tead2	ENSG00000074219	TEAD2	19	49340595
ENSMUSG00000027495	Fam210b	ENSG00000124098	FAM210B	20	56358974
ENSMUSG00000064573	Gm25802	ENSG00000212278		5	18236123
ENSMUSG00000093920	Olfr463	ENSG00000255713	OR4D2	17	58166982
ENSMUSG00000010841	1700006E09Rik	ENSG00000231256	CFAP97D1	17	43780435
ENSMUSG00000061360	Phf5a	ENSG00000100410	PHF5A	22	41459717
ENSMUSG00000049112	Oxtr	ENSG00000180914	OXTR	3	8750408
ENSMUSG00000034796	Cpne7	ENSG00000178773	CPNE7	16	89575758
ENSMUSG00000036093	Arl5a	ENSG00000162980	ARL5A	2	151788984
ENSMUSG00000032591	Mst1	ENSG00000173531	MST1	3	49683947
ENSMUSG00000025318	Jph3	ENSG00000154118	JPH3	16	87601835
ENSMUSG00000043501	Lgals2	ENSG00000100079	LGALS2	22	37570248
ENSMUSG00000030433	Sbk2	ENSG00000187550	SBK2	19	55528611
